Well,Mean Circularity,STD Circularity,Mean Area,STD Area,Mean Intensity,STD Intensity
219,0.8101721468334351,0.14179048388951615,64.03791174642635,55.3919210566169,8279.869024394024,1154.3224518303862
218,0.8067997158794585,0.14492440337994994,68.11808118081181,58.88008575304332,9857.023347207865,1214.8937217677026
217,0.8066058621611228,0.1462936898319194,68.22570332480818,59.664863753996855,8933.832443414323,1168.3178941792705
241,0.8465974612560372,0.12635206648577255,85.25577026301664,73.28486464914317,10018.65706810251,1433.8439926151505
242,0.8444496366860669,0.1274825176316036,92.28802102891476,80.77581585703318,10720.52237630488,1438.689919012726
243,0.8419145317289178,0.12984492747052456,82.40384615384616,74.00425612201217,9798.73704258503,1619.7689332564362
267,0.8363019261237902,0.12574220176755183,91.09854535082715,75.9298324311704,9363.920560111239,1604.0042666963916
266,0.8331444370204478,0.12840432239369173,89.64198809215635,76.32189346794539,10641.024297010059,1451.9172315391602
265,0.8252978393493833,0.1361228484615224,73.45887207702889,64.22253665313313,9019.883312187043,1115.2170073457564
289,0.8349246011645474,0.13302205714278617,77.99606775559589,64.01265745372966,9350.48399464609,1487.5030517625005
290,0.8402022122970689,0.11912404274920879,95.89157994323557,80.48532865880796,10152.544371333952,1740.933493844251
291,0.8276866748174261,0.1301675146258365,87.60161168471417,70.78911491892634,9650.38366333419,1430.2380127037063
